full_id,osm_id,osm_type,name:ru,name:en,name,lat,lon
n1042058157,"1042058157",node,аэродром Осыпной Бугор,Osypnoy Bugor Airfield,аэродром Осыпной Бугор,46.2871581,48.0611730
n1042058160,"1042058160",node,,,Kuznetsk Airport,53.0980957,46.5904427
n1042058166,"1042058166",node,,Vol'sk Airfield,Аэродром Вольск,52.0297395,47.3258562
n1042058221,"1042058221",node,,Kiyevskoye Airstrip,,45.0605630,37.9666471
n1042058239,"1042058239",node,Аэродром Ольгинская,Olginskaya Airstrip,Аэродром Ольгинская,45.9383478,38.3999097
n1042058244,"1042058244",node,,Medvedovskaya Airstrip,,45.4433769,38.9604592
n1042058249,"1042058249",node,Елизаветинская,Yelizavetinskaya Airstrip,Елизаветинская,45.0852830,38.8053149
n1042058261,"1042058261",node,Белевцы,Belevci,Белевцы,45.2488841,39.0793789
n1042058266,"1042058266",node,Родниковская,Rodnikovskaya Airstrip,Родниковская,44.7776465,40.7087660
n1042058273,"1042058273",node,,Kusino Airfield,Кусино,59.4021564,31.8155479
n1042058282,"1042058282",node,,Yastrebino Airstrip,Ястребино,59.3856163,28.9302421
n1042058285,"1042058285",node,,Glazhevo Airstrip,Глажево,59.6603223,32.1070742
n1042058292,"1042058292",node,,Panino Airfield,Аэродром Панино,54.4755110,40.3165931
n1042058300,"1042058300",node,,,Старица,56.5123435,34.9719715
n1042058321,"1042058321",node,,Kurganinsk Airfield,,44.8642380,40.6251508
n1042058337,"1042058337",node,Аэродром Морозово,Morozovo Airstrip,Аэродром Морозово,55.3806465,38.3715963
n1042058345,"1042058345",node,,,Kamyshin Airport,50.0527943,45.3739876
n1042058362,"1042058362",node,,,Greem Bell Air Base,81.1667023,64.5832977
n1042058469,"1042058469",node,,,Ukkurey Air Base,52.3333015,116.8330002
n1042089933,"1042089933",node,,Ekimchan Airport,Аэропорт Экимчан,53.0744313,132.9502821
n1042089950,"1042089950",node,,Chumikan Airport,Чумикан,54.6961817,135.2824292
n1042089961,"1042089961",node,,,Аэропорт Советская Гавань (Май-Гатка),48.9252275,140.0360657
n1042090010,"1042090010",node,Беринговский,Beringovskiy Airstrip,Беринговский,63.0255136,179.2936001
n1042090054,"1042090054",node,Аэропорт Халактырка,Khalaktyrka Airport,Аэропорт Халактырка,53.0256511,158.7208767
n1042090062,"1042090062",node,,,Ust-Khayryuzovo Airport,57.0999985,156.7350006
n1042090071,"1042090071",node,,,Krasnokamensk Airport,50.0331078,118.0611420
n1042090253,"1042090253",node,,Kargopol,Каргополь,61.5108085,38.9044515
n1042090265,"1042090265",node,,,Pertominsk Airport,64.7905555,38.4228286
n1042090266,"1042090266",node,Аэропорт Нижняя Пёша,Nizhnyaya Pyosha Airport,Аэропорт Нижняя Пёша,66.7511199,47.7336412
n1042090267,"1042090267",node,Лопшеньга,Lopshen'ga Airfield,Лопшеньга,64.9809109,37.6947142
n1042090268,"1042090268",node,Пурнема,Purnema Airfield,Пурнема,64.3854003,37.4412346
n1042090273,"1042090273",node,,,Letnyaya Zolotitsa,64.9551671,36.8230495
n1042090286,"1042090286",node,,,Khorey-Ver Airport,67.4408880,58.0470581
n1042090292,"1042090292",node,,Kharuta Airport,аэропорт Харута,66.8470001,59.5449982
n1042090352,"1042090352",node,,Pudozh Airport,Аэропорт Пудож,61.8229014,36.5768823
n1042090357,"1042090357",node,Аэропорт Калевала,Kalevala,Аэропорт Калевала,65.2097427,31.1339380
n1042090371,"1042090371",node,Сортавала,Sortavala,Сортавала,61.7375766,30.6718332
n1042090377,"1042090377",node,Аэропорт Кичменгский Городок,Kichmengskiy Gorodok Airport,Аэропорт Кичменгский Городок,59.9770012,45.8250008
n1042090493,"1042090493",node,,Kalachinsk Aerodrome,Аэродром Калачинск,55.0212220,74.6073055
n1042090527,"1042090527",node,,Nagurskoye Air Base,аэродром Нагурское,80.7997921,47.4841915
n1042090797,"1042090797",node,,,Kharasavey Airport,71.2346360,66.9114643
n1042090809,"1042090809",node,,Tolka Airport,Аэропорт Толька,63.9899442,82.0497642
n1042090839,"1042090839",node,,,Аэропорт МВЛ Луговой,59.7247184,65.8357716
n1042091372,"1042091372",node,,Chistopol Airport,Чистополь,55.3106983,50.6137079
n1042091401,"1042091401",node,,,Krasny Kut Airport,50.9580002,46.9469986
n1042091427,"1042091427",node,Бугуруслан (Северный),Buguruslan Severny Airport,Бугуруслан (Северный),53.7183990,52.3718987
n1050019408,"1050019408",node,,,,64.8917011,45.7211427
n1059139295,"1059139295",node,,,,56.7010290,47.9086424
n1059894457,"1059894457",node,,,,68.5122920,112.4763026
n1072247712,"1072247712",node,,,Новоселовский аэродром,55.0010133,90.9265738
n1074855124,"1074855124",node,,,,61.3376111,73.4183465
n1080035252,"1080035252",node,,,,44.2537724,133.4165883
n1088751669,"1088751669",node,,,,51.7475863,36.3127906
n1091359923,"1091359923",node,,,,54.1077168,61.5536594
n1105890222,"1105890222",node,,,Аэродром Чистоозёрное,54.6579544,76.5372753
n1108086737,"1108086737",node,,,,51.7538011,36.3104934
n1108089089,"1108089089",node,,,,51.7517295,36.3095945
n1120017255,"1120017255",node,,,,69.7883619,170.6037241
n1122625665,"1122625665",node,,,,59.6051771,30.2738642
n1127967178,"1127967178",node,,,,45.7009901,34.4095478
n1140466527,"1140466527",node,,,,56.0825478,47.3193258
n1149251944,"1149251944",node,,,,47.6957107,40.2768664
n1150261942,"1150261942",node,,,,57.1938141,65.3217217
n1157628946,"1157628946",node,,,,51.7481164,36.2838077
n1163462127,"1163462127",node,,,,56.7091111,47.8998233
n1169456637,"1169456637",node,,,,62.1944561,74.5264623
n1192918251,"1192918251",node,,Razdol'naya,Раздольная,45.4213336,39.5361301
n1197427813,"1197427813",node,,,,54.1470409,45.2229518
n1197428217,"1197428217",node,,,,54.1427732,45.2265013
n1198035722,"1198035722",node,,,,52.2737256,35.2718411
n1201232143,"1201232143",node,,Kovdor,Ковдор,67.5334569,30.6193477
n1206964916,"1206964916",node,,,,61.3382831,73.4061570
n1214927216,"1214927216",node,,,,66.0042618,57.3799261
n1218639934,"1218639934",node,,,,44.5795093,38.0163158
n1222666918,"1222666918",node,,,,48.3090429,46.1748894
n1223943819,"1223943819",node,,Morinskoye,Аэродром Моринское,54.2327979,41.8212573
n1230787423,"1230787423",node,Воскресенка,Voskresenka,Воскресенка,53.0413264,50.0175143
n1232908691,"1232908691",node,,,,53.1630769,158.4454335
n1234716646,"1234716646",node,,,Аэродром Сараи,53.7265380,40.9810425
n1237007190,"1237007190",node,,Ukholovo,Аэродром Ухолово,53.7959244,40.4532253
n1256703256,"1256703256",node,,,,61.8309237,34.3026267
n1256703637,"1256703637",node,,,,61.8313481,34.3035839
n1268745515,"1268745515",node,,,,61.0242918,69.0937846
n1270906256,"1270906256",node,,Troyekurovo,,53.4132734,39.7637871
n1274011719,"1274011719",node,,,,66.5890049,66.5820678
n1279165417,"1279165417",node,,Korablino,Аэродром Кораблино,53.9042548,40.0143426
n1279936189,"1279936189",node,,,,57.1787351,65.3697510
n1282620458,"1282620458",node,,,Аэродром Соболево,54.1785556,40.0369687
n1288795696,"1288795696",node,,,Аэродром Михалково,54.3382691,39.9697366
n1300915314,"1300915314",node,,,,48.3046911,46.1786547
n1313267040,"1313267040",node,,,,56.3585472,101.6665147
n1317199107,"1317199107",node,,,,55.6041905,36.6235709
n1328841455,"1328841455",node,,,Аэродром Бетино,54.7733595,41.4642210
n1331020290,"1331020290",node,,,Гирвас,62.4819617,33.7480492
n1332198326,"1332198326",node,,,Мар-Кюэль,57.4522188,132.5250507
n1333603591,"1333603591",node,,,Чегдомын,51.1374092,132.9327746
n1335119971,"1335119971",node,,,,59.7867059,30.2924953
n1370063270,"1370063270",node,,,,42.8354887,47.6382736
n1411991842,"1411991842",node,,,,55.4140150,37.8947352
n1414026110,"1414026110",node,,,,45.0940210,33.5790401
n1414026120,"1414026120",node,,,,45.1005434,33.5774856
n1418978034,"1418978034",node,,,,64.3837171,-173.2302251
n1438180289,"1438180289",node,,,,48.2899859,46.1999210
n1438972410,"1438972410",node,,,,60.7158910,77.6614546
n1446173309,"1446173309",node,,,Тайшет (не эксплуатируется),55.9088546,97.9945546
n1448584372,"1448584372",node,,,,54.9580182,73.3321448
n1448584433,"1448584433",node,,,,54.9604667,73.3286387
n1460914957,"1460914957",node,Аэродром Ганькино,Gan'kino Airfield,Аэродром Ганькино,54.8704087,39.3805419
n1466816007,"1466816007",node,,Aerograd Mozhaiskiy,аэроград Можайский,55.4994749,36.2129537
n1468383674,"1468383674",node,,,Аэродром Красный Союз,54.1841951,41.0745960
n1468390731,"1468390731",node,,,Аэродром Сапожок,53.9644569,40.6835503
n1468397071,"1468397071",node,,Shatsk,Аэродром Щацк,54.0500198,41.7306563
n1482456229,"1482456229",node,,,,55.5923367,37.2887336
n1482456247,"1482456247",node,,,,55.5923939,37.2889562
n1496178173,"1496178173",node,,,,46.8865059,142.7242091
n1505197049,"1505197049",node,,,,59.7952822,30.3008685
n1508521702,"1508521702",node,,,Мельница,56.6990489,38.8237876
